organism,organism_code
ABIOTROPHIA SPECIES (OR GRANULICATELLA SPECIES),0
ACHROMOBACTER SPECIES,1
ACHROMOBACTER XYLOSOXIDANS,2
ACID FAST BACILLI,3
ACID FAST BACILLI DETECTED IN LIQUID MEDIUM,4
ACINETOBACTER BAUMANNII,5
ACINETOBACTER BAUMANNII COMPLEX,6
ACINETOBACTER HAEMOLYTICUS,7
ACINETOBACTER LWOFFI,8
ACINETOBACTER SPECIES,9
ACTINOMYCES SPECIES,10
AEROCOCCUS SPECIES,11
AEROCOCCUS URINAE,12
AEROMONAS CAVIAE,13
AEROMONAS HYDROPHILA GROUP,14
AEROMONAS SPECIES,15
AEROMONAS VERONII,16
ALCALIGENES FAECALIS,17
ALCALIGENES SPECIES,18
ANAEROBIC GRAM NEGATIVE RODS,19
ANAEROBIC GRAM POSITIVE COCCI,20
ANAEROBIC GRAM POSITIVE RODS,21
ARCANOBACTERIUM HAEMOLYTICUM,22
BACILLUS SPECIES,23
BACTEROIDES CACCAE,24
BACTEROIDES FRAGILIS,25
BACTEROIDES OVATUS,26
BACTEROIDES SPECIES,27
BACTEROIDES SPECIES NOT FRAGILIS,28
BACTEROIDES THETAIOTAOMICRON,29
BACTEROIDES UNIFORMIS,30
BACTEROIDES UREOLYTICUS,31
BACTEROIDES VULGATUS,32
BETA STREPTOCOCCUS GROUP C,33
BETA STREPTOCOCCUS GROUP G,34
BETA STREPTOCOCCUS SPECIES,35
BORDETELLA BRONCHISEPTICA,36
BREVIBACTERIUM SPECIES,37
BREVUNDIMONAS,38
BURKHOLDERIA CENOCEPACIA,39
BURKHOLDERIA CEPACIA,40
BURKHOLDERIA CEPACIA COMPLEX,41
BURKHOLDERIA CEPACIA COMPLEX GENOMOVAR I,42
BURKHOLDERIA GLADIOLI,43
BURKHOLDERIA MULTIVORANS,44
BURKHOLDERIA VIETNAMIENSIS,45
CAMPYLOBACTER SPECIES,46
"CHROMOGENIC AFB, NOT M.TUBERCULOSIS",47
CHRYSEOBACTERIUM INDOLOGENES,48
CHRYSEOBACTERIUM SPECIES,49
CHRYSEOMONAS LUTEOLA,50
CITROBACTER AMALONATICUS COMPLEX,51
CITROBACTER BRAAKII,52
CITROBACTER FREUNDII,53
CITROBACTER FREUNDII COMPLEX,54
CITROBACTER FREUNDII COMPLEX (CARBAPENEM RESISTANT),55
CITROBACTER KOSERI,56
CITROBACTER KOSERI (CARBAPENEM RESISTANT),57
CITROBACTER SPECIES,58
CITROBACTER YOUNGAE,59
CLOSTRIDIUM CLOSTRIDIOFORME,60
CLOSTRIDIUM INNOCUUM,61
CLOSTRIDIUM PARAPUTRIFICUM,62
CLOSTRIDIUM PERFRINGENS,63
CLOSTRIDIUM RAMOSUM,64
CLOSTRIDIUM SEPTICUM,65
CLOSTRIDIUM SORDELLII,66
CLOSTRIDIUM SPECIES,67
"CLOSTRIDIUM SPECIES, NOT PERFRINGENS",68
CLOSTRIDIUM TERTIUM,69
COAG NEGATIVE STAPHYLOCOCCUS,70
COMAMONAS ACIDOVORANS,71
CORYNEBAC. STRIATUM/AMYCOLATUM,72
CORYNEBACTERIUM ACCOLENS,73
CORYNEBACTERIUM AMYCOLATUM,74
CORYNEBACTERIUM DIPTHERIAE,75
CORYNEBACTERIUM GROUP F-1,76
CORYNEBACTERIUM JEIKEIUM,77
CORYNEBACTERIUM MACGINLEYI,78
CORYNEBACTERIUM PROPINQUUM,79
CORYNEBACTERIUM PSEUDODIPHTHERITICUM,80
