organism_code,antibiotic_code,count
0,2,1
0,6,4
0,15,5
0,17,3
0,18,1
0,20,1
0,25,4
0,28,6
0,30,4
0,36,3
0,47,6
1,0,17
1,3,1
1,5,2
1,6,27
1,13,17
1,15,4
1,18,21
1,24,4
1,26,27
1,27,10
1,28,11
1,30,16
1,38,31
1,42,1
1,45,25
1,46,9
2,0,443
2,3,83
2,5,1
2,6,418
2,13,386
2,15,9
2,18,403
2,23,1
2,24,2
2,26,480
2,27,248
2,28,343
2,30,347
2,32,8
2,37,1
2,38,497
2,41,2
2,42,3
2,43,1
2,45,474
2,46,219
3,0,2
3,10,1
3,18,2
3,19,2
3,23,1
3,29,1
3,40,1
3,46,2
4,19,3
5,0,24
5,3,21
5,5,1
5,6,47
5,13,11
5,15,1
5,18,46
5,26,45
5,27,3
5,28,10
5,30,11
5,32,2
5,34,1
5,37,1
5,38,3
5,45,48
5,46,36
6,0,83
6,3,91
6,5,9
6,6,80
6,13,91
6,15,2
6,18,94
6,23,1
6,24,8
6,26,95
6,27,57
6,28,84
6,30,87
6,32,6
6,38,11
6,42,1
6,44,1
6,45,85
7,0,1
7,6,2
7,18,2
7,26,2
7,45,2
7,46,2
8,0,22
8,3,25
8,6,37
8,13,9
8,15,4
8,18,42
8,26,40
8,27,2
8,28,3
8,30,6
8,38,5
8,41,1
8,45,38
8,46,34
9,0,123
9,3,132
9,6,137
9,13,74
9,15,4
9,18,149
9,23,1
9,24,1
9,26,149
9,27,46
9,28,74
9,30,84
9,37,4
9,38,5
9,41,1
9,42,1
9,45,143
9,46,37
10,18,1
10,23,1
10,36,1
10,47,1
11,2,1
11,28,1
11,34,1
11,41,1
12,18,1
13,3,1
13,5,2
13,6,2
13,13,1
13,15,2
13,18,2
13,24,1
13,26,2
13,28,2
13,30,1
13,38,2
13,46,1
14,2,4
14,3,3
14,5,3
14,6,4
14,8,3
14,9,3
14,15,4
14,18,4
14,24,1
14,26,4
14,27,4
14,28,4
14,30,4
14,38,4
14,46,4
15,0,17
15,1,1
15,3,7
15,5,6
15,6,21
15,8,1
15,10,14
15,13,21
15,15,18
15,18,24
15,24,3
15,26,24
15,27,1
15,28,20
15,30,19
15,38,24
15,41,16
15,44,15
15,46,2
16,1,2
16,3,2
16,5,3
16,6,3
16,13,3
16,15,3
16,18,3
16,26,3
16,28,3
16,30,2
16,38,2
16,41,1
17,0,9
17,3,1
17,6,11
17,13,7
17,18,10
17,26,12
17,27,2
17,28,11
17,30,7
17,38,13
17,45,12
17,46,2
18,0,1
18,6,3
18,13,1
18,18,1
18,26,3
18,27,1
18,28,1
18,30,1
18,38,3
18,45,3
18,46,3
19,3,2
19,20,2
19,30,2
19,31,2
19,36,2
20,3,1
20,20,1
20,30,1
20,31,1
20,36,1
21,3,3
21,20,3
21,30,3
21,31,4
21,36,3
22,18,1
22,23,1
22,36,1
22,47,1
23,18,13
23,20,13
23,27,16
23,36,16
23,47,16
24,3,1
24,20,1
24,30,1
24,31,1
25,3,81
25,9,12
